,artist,song,genre,lyrics
161,brad paisley featuring alabama,old alabama,Country,"She'd rather wear a pair of cut-off jeans
Than an evening dress
And with the windows rolled down
And her hair blowin all around
Well, she's a hot Southern mess

She'd take a beer over white wine
A campfire over candle light
And when it comes to love,
Her idea of a romantic night

Is listenin' to old Alabama
And driving through Tennessee
A little ""Dixieland Delight"" and
""The Right Time of the Night"",
And she can't keep her off of me

And now we rollin' down an old backroad
I've got the steering wheel in one hand
We'll find a hideaway where she and I can play
In Mother Nature's band

Now, we're listenin' to old Alabama
Parked somewhere in Tennessee
A little ""Dixieland Delight"",
And ""It Feels So Right"",
And it's ""Love In the First Degree""

Forget about Sinatra or Coltrane
Or some ol' Righteous Brothers' song
Hey, even barry White ain't gonna work tonight
If you really wanna turn her on

(Alabama)
Play some back home, come on, music
That comes from the heart
Play somethin' with lots of feelin'
'Cause that's where music has to start

(Brad)
Now, we're listenin' to old Alabama
And we're drivin' through Tennessee
A little ""Dixieland Delight"",
And ""It Feels So Right"",
And it's ""Love In the First Degree""

Yeah, you know we're listenin' to old Alabama (Old Alabama)
And drivin' through Tennessee
A little ""Why, Lady, Why""
At ""The Right Time of the Night"",
And she can't keep her hands off of me

Oh, play me some old Alabama
Oh, play me some old Alabama
Won't you play me some old Alabama
Oh, play-eay-eay"
162,keith urban,without you,Country,"(Keith Urban)

Oh girl you get to me
In a way I can't believe
I need you
And who knows where just friends ends
When your cross that line and love begins
In over my head and the water's turnin' blue

CHORUS
But what would I do
Without you
What would I do
Without you

Hearts never know the way
They want to go and want to stay
We need two
But in time you find the road
And though inside you know you've gotta go
The hardest part I find
Is you're all I ever knew

CHORUS

But what will I do
Without you
What will I do
Without you

I gotta break these habit chains I put on me
And be all that I can be, try and find
What I need
Memories suspend in time
All the days when you were mine
And the chance I took to move
One I thought I'd never do

CHORUS

But I made it through
Without you
I made it through
Without you

From what would I do
Without you
To I made it through
Without you, Without you

REPEAT TO FADE"
163,blake shelton,honey bee,Country,"Girl
I've, been thinkin' 'bout us And
you know I ain't good at this stuff But, 
these feelin's pilin' up Won't 
give me no rest This

might come out a little crazy A
little sideways yeah, maybe, I
don't know how long it'll take me But, 
I'll do my best If

you'll be my soft and sweet I'll, 
be your strong and steady You
be my glass of wine I'll, 
be your shot of whiskey You
be my sunny day I'll, 
be your shade tree You
be my honeysuckle I'll, 
be your honey bee Yeah

that, came out a little country But
every word was right on the money And
I've got you smilin' honey, Right, 
back at me Now

hold, on 'cause, I ain't done There's
more where that came from Well
you, know I'm just havin' fun But, 
seriously If

you'll be my Louisiana I'll, 
be your Mississippi You
be my little Loretta I'll, 
be your Conway Twitty You
be my sugar baby I'll, 
be your sweet iced tea You
be my honeysuckle I'll, 
be your honey bee Your

kiss just said it all I'm
glad we had this talk Nothin'
left to do but, fall In
each other's arms I

could've said a ""I love you"" Could've
wrote you a line or two Baby
all, I know to do Is 
speak right from the heart If

you'll be my soft and sweet I'll, 
be your strong and steady You
be my glass of wine I'll, 
be your shot of whiskey You
be my sunny day I'll, 
be your shade tree You
be my honeysuckle I'll, 
be your honey bee You'll

be my Louisiana I'll, 
be your Mississippi You
be my little Loretta I'll, 
be your Conway Twitty You
be my sugar baby I'll, 
be your sweet iced tea You
be my honeysuckle I'll, 
be your honey bee I'll

be your honey bee "
164,justin moore,if heaven wasn't so far away,Country,"Every day I drive to work across Flint River bridge
A hundred yards from the spot where me and grandpa fished
There's a piece of his old fruit stand on the side of Sawmill Road
He'd be there peelin' peaches if it was twenty years ago
And what I wouldn't give
To ride around in that old truck with him
If heaven wasn't so far away
I'd pack up the kids and go for the day
Introduce them to their grandpa
Watch 'em laugh at the way he talks
I'd find my long lost cousin John
The one we left back in Vietnam
Show him a picture of his daughter now
She's a doctor and he'd be proud
Then tell him we'd be back in a couple of days
In the rear view mirror we'd all watch 'em wave
Yeah, and losing them wouldn't be so hard to take
If heaven wasn't so far away
I'd hug all three of those girls we lost from the class of '99
And I'd find my bird dog Bo and take him huntin' one more time
I'd ask Hank why he took those pills back in '53
And Janis to sing the second verse of ""Me and Bobby McGee""
Sit on a cloud and visit for a while
It'd do me good just to see them smile
If heaven wasn't so far away
I'd pack up the kids and go for the day
Introduce them to their grandpa
Watch 'em laugh at the way he talks
I'd find my long lost cousin John
The one we left back in Vietnam
Show him a picture of his daughter now
She's a doctor and he'd be proud
Then tell him we'd be back in a couple of days
In the rear view mirror we'd all watch 'em wave
Yeah, and losing them wouldn't be so hard to take
If heaven wasn't so far
If heaven wasn't so far
If heaven wasn't so far away
So far away
So far away"
165,jason aldean,dirt road anthem,Country,"Yeah I'm chillin' on a dirt road
Laid back swervin' like I'm George Jones
Smoke rollin' out the window
An ice cold beer sittin' in the console
Memory lane up in the headlights
It's got me reminiscing on them good times
I'm turnin' off a real life drive and that's right
I'm hittin' easy street on mud tires
Back in the day Potts farm was the place to go
Load the truck up hit the dirt road,
Jump the barbed wire, spread the word,
Light the bonfire then call the girls
King in the can and the Marlboro man
Jack n' Jim were a few good men,
Where you learned how to kiss and cuss and fight too,
Better watch out for the boys in blue
And all this small town he said, she said,
Ain't it funny how rumors spread
Like I know somethin' ya'll don't know, man that talk is getting old
You better mind your business man, watch your mouth,
Before I have to knock that loud mouth out
I'm tired of talkin' man y'all ain't listenin'
Them ol' dirt roads, is what y'all missin'
Yeah I'm chillin' on a dirt road
Laid back swervin' like I'm George Jones
Smoke rollin' out the window
An ice cold beer sittin' in the console
Memory lane up in the headlights
It's got me reminiscing on them good times
I'm turnin' off a real life drive that's right
I'm hittin' easy street on mud tires
I sit back and think about them good old days
The way we were raised in our southern ways
And we like cornbread and biscuits
And if it's broke 'round here we fix it
I can take ya'll where you need to go
Down to my hood back in them woods
We do it different round here that's right
But we sure do it good and we do it all night
So if you really want to know how it feels
To get off the road with trucks and four wheels
Jump on in and man tell your friends
We'll raise some hell where the black top ends
I'm chillin' on a dirt road
Laid back swervin' like I'm George Jones
Smoke rollin' out the window
An ice cold beer sittin' in the console
Memory lane up in the headlights
It's got me reminiscing on them good times
I'm turnin' off a real life drive and that's right
I'm hittin' easy street on mud tires
Let's ride
Yeah I'm chillin' on a dirt road
Laid back swervin' like I'm George Jones
Smoke rollin' out the window
An ice cold beer sittin' in the console
Memory lane up in the headlights
It's got me reminiscing on them good times
I'm turnin' off a real life drive and that's right
I'm hittin' easy street on mud tires
Let's ride"
166,chris young,tomorrow,Country,"[Verse:]

Tomorrow I'm gonna leave here
I'm gonna let you go and walk away
Like every day I said I would
And tomorrow, I'm gonna listen
To that voice of reason inside my head
Telling me that we're no good

[Chorus:]

But tonight I'm gonna give in one last time
Rock you strong in these arms of mine
Forget all the regrets that are bound to follow
We're like fire and gasoline
I'm no good for you
You're no good for me
We only bring each other tears and sorrow
But tonight, I'm gonna love you like there's no tomorrow

[Verse 2:]

Tomorrow I'll be stronger
I'm not gonna break down and call you up
When my heart cries out for you
And tomorrow, you won't believe it,
But when I pass your house,
I won't stop no matter how bad I want to.

[Chorus:]

[Bridge:]

Baby when we're good, You know we're great
But there's too much bad for us to think
That there's anything worth trying to save

[Chorus:]

Tomorrow, I'm gonna leave here.
I'm gonna let you go and walk away like every day I said I would"
167,zac brown band featuring jimmy buffett,knee deep,Country,"Gonna put the world away for a minute
Pretend I don't live in it
Sunshine gonna wash my blues away
Had sweet love but I lost it
Got too close so I fought it
Now I'm lost in the world tryin to find me a better way

Wishin' I was
Knee deep in the water somewhere
Got the blue sky, breeze and it don't seem fair
The only worry in the world
Is the tide gonna reach my chair
Sunrise, there's a fire in the sky
Never been so happy
Never felt so high
And I think I might have found me my own kind of paradise

Wrote a note, said ""Be back in a minute""
Bought a boat and I sailed off in it
Don't think anybody's gonna miss me anyway
Mind on a permanent vacation
The ocean is my only medication
Wishin' my condition ain't ever gonna go away

Now I'm knee deep in the water somewhere
Got the blue sky breeze blowin' wind thru my hair
Only worry in the world
Is the tide gonna reach my chair
Sunrise, there's a fire in the sky
Never been so happy
Never felt so high
And I think I might have found me my own kind of paradise

This champagne shore washin' over me
It's a sweet sweet life livin' by the salty sea
One day you can be as lost as me
Change your geography and maybe you might be

Knee deep in the water somewhere
Got the blue sky breeze blowin' wind thru my hair
Only worry in the world
Is the tide gonna reach my chair
Sunrise, there's a fire in the sky
Never been so happy
Never felt so high
And I think I might have found me my own kind of paradise

Come on in
The waters nice
Find yourself a little slice
Grab a backpack
Otherwise you'll never know until you try
When you lose yourself
You find a key to paradise"
168,lady antebellum,just a kiss,Country,"Lyin' here with you so close to me
It's hard to fight these feelings when it feels so hard to breathe
I'm caught up in this moment
I'm caught up in your smile

I've never opened up to anyone
So hard to hold back when I'm holding you in my arms
We don't need to rush this
Let's just take it slow

Chorus:
Just a kiss on your lips in the moonlight
Just a touch iof the fire burning so bright
And I don't wanna mess this thing up
I don't wanna push too far
Just a shot in the dark that you just might
Be the one I've been waiting for my whole life
So baby I'm alright, with just a kiss goodnight

I know that if we give this a little time
It'll only bring us closer to the love we wanna find
It's never felt so real, no it's never felt so right

Chorus:
Just a kiss on your lips in the moonlight
Just a touch of the fire burning so bright
And I don't wanna mess this thing up
I don't wanna push too far
Just a shot in the dark that you just might
Be the one I've been waiting for my whole life
So baby I'm alright, with just a kiss goodnight

Bridge:
No I don't wanna say goodnight
I know it's time to leave, but you'll be in my dreams
Tonight
Tonight
Tonight

Just a kiss on your lips in the moonlight
Just a touch of the fire burning so bright
And I don't wanna mess this thing up
I don't wanna push too far
Just a shot in the dark that you just might
Be the one I've been waiting for my whole life
So baby I'm alright, oh, let's do this right, with just a kiss goodnight
With a kiss goodnight
Kiss goodnight"
169,dierks bentley,am i the only one,Country,"Well it was Friday in the P. M.
And just like every weekend
I was ready to throw down
Yeah get a little tore up
So I call my bros up to meet me out on the town
Well wild man Willy said I like to really but Idol was on tv
And Ray had a date with his wife and Nate quit drinking but he didn't tell
Me

Am I the only one who wants to have fun tonight?
Is there anybody out there who wants to have a cold beer
Kick it to the morning light
If I have to raise hell all by myself
I will but y'all that ain't right
It's time to get it on
Am I the only one who wants to have fun tonight?

Well I was flying solo down at Silverado's
The joint looking like a morgue
When this country cutie with a rock & roll booty
Came strutting in through the door
Yelled, ""Who wants to dance?"" and fired up the band with with a Franklin
And a shot of patron
She looked right at me and said
""What's it gonna be are you gonna let me to party alone?""

Am I the only one who wants to have fun tonight?
Is there anybody out there who wants to have a cold beer
Kick it to the morning light
If I have to raise hell all by myself
I will but y'all that ain't right
Yeah it's time to get it on
Am I the only one who wants to have fun tonight?

Am I the only one who wants to have fun tonight?
Is there anybody out there who wants to have a cold beer
Kick it to the morning light
If I have to raise hell all by myself
I will but y'all that ain't right
Yeah it's time to get it on
Am I the only one who wants to have fun tonight?

Come on, come on
Get your good time on
Let's have a little fun tonight

Let's have a little fun tonight
Let's have a little fun tonight
Let's have a little fun tonight"
171,jake owen,barefoot blue jean night,Country,"Songwriters: Altman, Dylan; Paslay, Eric; Sawchuck, Terry

A full moon shinin' bright
Edge of the water; we were feelin' alright
Back down a country road
The girls are always hot, and the beer is ice cold

Cadillac, horns on the hood
My buddy Frankie had his dad hook him up good
Girls smile when we roll by
They hop in the back, and we cruise to the river side

(Whoa-oh)
Never gonna grow up
(Whoa-oh)
Never gonna slow down
(Whoa-oh)
We were shinin' like lighters in the dark
In the middle of a rock show
(Whoa-oh)
We were doin' it right
(Whoa-oh)
We were comin' alive
(Whoa-oh)
Yeah, caught up in a Southern summer, barefoot, blue jean night

Blue eyes and auburn hair
Sittin' lookin' pretty by the fire in a lawn chair
New to town, and new to me
Her ruby red lips was sippin' on sweet tea
Shot me in love like a shootin' star
So, I grabbed a beer and my ol' guitar
Then we sat around till the break of dawn
Howlin' and singin' our favorite song

(Whoa-oh)
Never gonna grow up
(Whoa-oh)
Never gonna slow down
(Whoa-oh)
We were shinin' like lighters in the dark
In the middle of a rock show
(Whoa-oh)
We were doin' it right
(Whoa-oh)
We were comin' alive
(Whoa-oh)
Yeah, caught up in a Southern summer, barefoot, blue jean night

Whoa-oh, never gonna grow up
Ha!
Never gonna slow down
We were shinin' like lighters in the dark
In the middle of a rock show
(Whoa-oh)
We were doin' it right
(Whoa-oh)
We were comin' alive
(Whoa-oh)
Yeah, caught up in a Southern summer, barefoot, blue jean night

(Whoa-oh)
Barefoot, blue jean night
(Whoa-oh)
Barefoot, blue jean night
(Whoa-oh)
Barefoot, blue jean night"
172,rodney atkins,take a back road,Country,"Sittin in six lane backed up traffic
Horns a honkin, I've about had it
I'm lookin for an exit sign
Gotta get outta here, get it all off my mind
And like a memory from your grandpa's attic
A song comes slippin through the radio static
Changin my mood
A little George Strait 1982

And it makes me wanna take a back road
Makes me wanna take the long way home
Put a little gravel in my travel
Unwind, unravel all night long
Makes me wanna grab my honey
Tear down some two lane country
Who knows
Get lost and get right with my soul
Makes me wanna take, makes me wanna take a back road

I've been cooped up, tied down
'Bout forgotten what a field looks like full of corn and cotton
If I'm gonna hit a traffic jam
Well it better be a tractor man
So sick and tired of this interstate system
I need the curvin, windin, twistin dusty path to nowhere
With the wind blowin through my baby's hair

Yeah it makes me wanna take a back road
Makes me wanna take the long way home
Put a little gravel in my travel
Unwind, unravel all night long
Makes me wanna grab my honey
Tear down some two lane country
Who knows
Get lost and get right with my soul
Makes me wanna take, makes me wanna take a back road
Some old back road

Maybe it's the feelin
Or maybe it's the freedom
Maybe it's that shady spot where we park the truck when things get hot
Girl we park the truck when things get hot

And it makes me wanna take a back road
Makes me wanna take the long way home
Put a little gravel in my travel
Unwind, unravel all night long
Makes me wanna grab your honey
Tear down some two lane country
Who knows
Get lost and get right with my soul
Makes me wanna take, makes me wanna take a back road

Some old back road
Get right with my soul
All I gotta do is take some old back road
To the shady spot where things get hot girl
Way down, way down, way down some old back road"
173,toby keith,made in america,Country,"My old man's that old man
Spent his life livin off the land
Dirty hands and a clean soul
It breaks his heart seein foreign cars
Filled with fuel that isn't ours and wearin cotton we didn't grow

He's got the red, white, blue flyin high on the farm
Semper Fi tattooed on his left arm
Spends a little more at the store for a tag in the back that says usa
He won't buy nothin that he can't fix,
With wd40 and a Craftsman wrench
He ain't prejudice, he's just made in America

He loves his wife, she's that wife that decorates on the 4th of July
But says ""Every day's Independence day""
She's golden rule, teaches school
Some folks say it isn't cool but she says the Pledge of Allegiance anyway.

He's got the red, white, blue flyin' high on the farm
Semper Fi tattooed on his left arm
Spends a little more at the store for a tag in the back that says usa
He won't buy nothin' that he can't fix
With wd40 and a Craftsman wrench
He ain't prejudice, he's just made in America

Born in the heartland, raised up a family
Of King James and Uncle Sam

He's got the red, white, blue flyin high on the farm
Semper Fi tattooed on his left arm
Spends a little more at the store for a tag in the back that says usa
He won't buy nothin that he can't fix
With wd40 and a Craftsman wrench
He ain't prejudice, he's just made in America

Made in America
Made in America

Yeah my old man's that old man

Made in America"
174,keith urban,long hot summer,Country,"I can't sleep
Ain't no sleep a'coming
I'm just lying here thinking 'bout you
I'm in deep
Falling deep into the picture in my mind of everything we're gonna do

Over at the lake and down by the river
You can feel it start to rise
Wanna jump in my car, go wherever you are
'Cause I need you by my side

It's gonna be a long, hot summer, we should be together
With your feet up on the dashboard now
Singing along with the radio, it's such a beautiful sound
And when you say my name in the middle of the day, I swear I see the stars come out
When you hold my hand in the back of my mind, just waiting on the sun to go down, the sun to go down

I wanna see your brown skin shimmer in the sun for the first time
I try to be the one who knows just what to do to you to get me that smile
One chance of meeting, you were walking by me on the street and I said hi
And that was the beginning of my heart spinnin' like these wheels in my head tonight

It's gonna be a long, hot summer, we should be together
With your feet up on the dashboard now
Singing along with the radio, it's such a beautiful sound
And when you say my name in the middle of the day, I swear I see the stars come out
When you hold my hand in the back of my mind, just waiting on the sun to go down, the sun to go down

The only place that I wanna be is where you are
'Cause anymore than a heartbeat away is just too far

It's gonna be a long, hot summer, we should be together
All I really want is more than this moment right now
And when you say my name in the middle of the day, I swear I see the stars come out
And when you hold my hand and I look into your eyes
I swear it looks like you're waiting for the sun to go down, the sun to go down

I swear it's like you're waiting for the sun to go down
Waiting on the sun to go down
Hey, yeah
Oh, I'm loving thinking 'bout you
I can't sleep, I'm just lying here thinkin' 'bout you"
175,blake shelton,god gave me you,Country,"[Blake Shelton - Verse 1]
I've been a walking heartache
I've made a mess of me
The person that I've been lately
Ain't who I wanna be

But you stay here right beside me
Watch as the storm goes through
And I need you

[Chorus]
God gave me you for the ups and downs
God gave me you for the days of doubt
For when I think I've lost my way
There are no words here left to say, it's true
God gave me you

[Blake Shelton - Verse 2]
There's more here than what were seeing
A divine conspiracy
That you, an angel lovely
Could somehow fall for me
You'll always be love's great martyr
I'll be the flattered fool
And I need you

[Chorus]
God gave me you for the ups and downs
God gave me you for the days of doubt
For when I think I've lost my way
There are no words here left to say, it's true
God gave me you

[Bridge]
On my own I'm only
Half of what I could be
I can't do without you
We are stitched together
And what love has tethered
I pray we never undo

[Chorus - Outro]
God gave me you for the ups and downs
God gave me you for the days of doubt
God gave me you for the ups and downs
God gave me you for the days of doubt
For when I think I've lost my way
There are no words here left to say, it's true
God gave me you, gave me you
Gave me you"
177,taylor swift,sparks fly,Country,"The way you move is like a fall on rainstorm
And I'm a house of cards
You're the kinda reckless that should send me running but I
Kinda know that I won't get far

And you stood there in front of me just
Close enough to touch
Close enough so hope you couldn't see
What I was thinking of

[Chorus]
Drop everything now
Meet me in the pouring rain
Kiss me on the sidewalk
Take away the pain
Cause I see, sparks fly whenever you smile

Get me with those green eyes, baby
As the lights go down
Give me something that'll haunt me when you're not around
Cause I see, sparks fly whenever you smile

My mind forgets to remind me
You're a bad idea
You touch me once and it's really something
You find I'm even better than you imagined I would be

I'm on my guard for the rest of the world
But with you, I know it's no good
And I could wait patiently but
I really wish you would

[Chorus]
Drop everything now
Meet me in the pouring rain
Kiss me on the sidewalk
Take away the pain
Cause I see, sparks fly whenever you smile

Get me with those green eyes, baby
As the lights go down
Give me something that'll haunt me when you're not around
Cause I see, sparks fly whenever you smile

I'll run my fingers through your hair
And watch the lights go wild
Just keep on keeping your eyes on me
It's just wrong enough to make it feel right
And meet me up the staircase
Won't you whisper something slow
I'm captivated by you, baby
Like a firework show

[Chorus]
Drop everything now
Meet me in the pouring rain
Kiss me on the sidewalk
Take away the pain
Cause I see, sparks fly whenever you smile

Get me with those green eyes, baby
As the lights go down
Give me something that'll haunt me when you're not around
Cause I see, sparks fly whenever you smile

And the sparks fly
Oh, baby, smile
And the sparks fly"
178,brantley gilbert,country must be country wide,Country,"Grew up south of the Mason Dixon
Workin', spittin', huntin', and fishin'
Stone cold country by the grace of God

I was gassin' up the other day
An old boy pulled up with a license plate
From Ohio; thought ""Oh, good Lord, he's lost""

From his Wranglers to his boots
He reminded me of Chris Ledoux
And that Copenhagen smile
Yeah, country must be country wide

In every state, there's a station
Playin' Cash, Hank, Willie, and Waylon
In foreign cars and four-wheel drives
There's cowbys and hillbilles
From farm towns to big cities
There ain't no doubt in my mind
Country must be country wide

It ain't where, it's how you live
We weren't raised to take, we were raised to give
The shirt off our back to anyone in need

We bow our heads before we eat
Before we start our day, before we fall asleep
'Cause in God we trust, and we believe

And we see what's wrong
And we know what's right
And ol' Hank, he said it all
When he sang ""Country Folks Can Survive""

In every state, there's a station
Playin' Cash, Hank, Willie, and Waylon
In foreign cars and four-wheel drives
There's cowbys and hillbilles
From farm towns to big cities
There ain't no doubt in my mind
Country must be country wide

In every state, there's a station
Playin' Cash, Hank, Willie, and Waylon
In foreign cars and four-wheel drives
There's cowbys and hillbilles
From farm towns to big cities
There ain't no doubt in my mind

In every state, there's a station
Playin' Cash, Hank, Willie, and Waylon
In foreign cars and four-wheel drives
There's cowbys and hillbilles
From farm towns to big cities
There ain't no doubt in my mind
There ain't no doubt in my mind
Country must be country wide"
179,lady antebellum,we owned the night,Country,"Tell me have you ever wanted
Someone so much it hurts?
Your lips keep trying to speak
But you just can't find the words
Well I had this dream once; 
I held it in my hands

She was the purest beauty
But not the common kind
She had a way about her
That made you feel alive
And for a moment
You made the world stand still

Yeah we owned the night

You had me dim the lights; 
You danced just like a child
The wine spilled on your dress
And all you did was smile
Yeah, it was perfect
I hold it in my mind

Yeah, we owned the night

When the summer rolls around
And the sun starts sinking down
I still remember you
Oh, I remember you
And I wonder where you are
Are you looking at those same stars again?
Do you remember when?
We woke under a blanket
All tangled up in skin
Not knowing in that moment
We'd never speak again
But it was perfect; 
I never will forget
When we owned the night
Yeah, we owned the night"
180,zac brown band,keep me in mind,Country,"1... 2... 3
This is gonna be funky

How come all the pretty girls like you are taken baby
I've been looking for someone like you to save me
Life's to easy to be so damn complicated
Take your time and I'll be waitin'

Chorus:
Keep me in mind
Somewhere down the road you might get lonely
Keep me in mind
And I pray someday that you will love me only

I think about you somedays
And the way I would lay and waste a day after day with you
We always go our separate ways
But no-one can love you baby the way I do

Chorus:
Keep me in mind
Somewhere down the road you might get lonely
Keep me in mind
And I pray someday that you will love me only

Bridge:
Well the world can be real tough
Find shelter in me
If there's no-one else to love
Keep me in mind

If ever you wanted me, I'll be your man
I'd be a fool to let you go with someone else
Whatever you want from me, I'll be your man
I'd give it all up just to have you for myself

Chorus:
Keep me in mind
Somewhere down the road you might get lonely
Keep me in mind
And I pray someday that you will love me only

Well the world can be real tough
Why don't you hold on to me
When there's no-one else to love
Keep me in mind
(Keep me in mind)
And I'll hold you darling
(Keep me in mind)
I'll be your man
(Keep me in mind)
I'll hold you darling
(Keep me in mind)
C'mon little mama
Put it on me"
181,david nail featuring sarah buxton,let it rain,Country,"It's hard to find the perfect time to say something
You know is gonna change everything
Livin' with the shame; it nothin' like the pain
That I saw on her face

Now me and my pile of things that she threw out the window
Drownin' next to me
No seven years of good can't hide the one night
I forgot to wear that ring

So let it rain, let it pour
She don't love me anymore
Just let it come down on me, let it come down on me
Every word let it hurt
Even more than I deserve
Let it come down on me, let it come down on me
Let it rain

Last thing I remember was the young familiar
Taste of someone on my lips
It's too late to turn around when the shades start comin' down
The guilt you feel's the last thing on your mind

So let it rain, let it pour
She don't love me anymore
Just let it come down on me, let it come down on me
Every word let it hurt
Even more than I deserve
Let it come down on me, let it come down on me
Let it rain

So let it rain, let it pour
If she don't love me anymore
Just let it come down on me, let it come down on me
Every word let it hurt
Even more than I deserve
Let it come down on me, let it come down on me
Let it rain

Let it rain
(You don't love me anymore)
Let it rain"
183,luke bryan,i don't want this night to end,Country,"Girl, I know I don't know you.
But your pretty little eyes so blue,
Are pulling me in like the moon on your skin.
I'm so glad you trusted me, to slide up on this dusty seat.
And let your hair down, and get outta town.

Got the stars comin' out,
Over my hood
And all I know now.
Is it's going good.

You got your hands up,
You're rocking in my truck.
You got the radio on,
You're singing every song.
I'm set on cruise control.
I'm slowing loosing hold of everything I've got.
You're looking so damn hot.
And I don't know what road we're on,
Or where we've been from starrin' at you, Girl.
All I know is I don't want this night to end.

Gonna cuss the morning,
When it comes.
Cause I know that the rising sun,
Ain't no good for me.
Cause you'll have to leave.
Gonna make the most of every mile.
Do anything to make your smile,
Land on my lips.
And get drunk on your kiss.
The clock on the dash,
Says 3: 35.
There's plenty of gas,
And the night's still alive.

You got your hands up,
You're rocking in my truck.
You got the radio on,
You're singing every song.
I'm set on cruise control.
I'm slowing loosing hold of everything I've got.
You're looking so damn hot.
And I don't know what road we're on,
Or where we've been from starrin' at you, Girl.
All I know is I don't want this night to end.

You got your hands up,
You're rocking in my truck.
You got the radio on,
You're singing every song.
I'm set on cruise control.
I'm slowing loosing hold of everything I've got.
You're looking so damn hot.
And I don't know what road we're on,
Or where we've been from starrin' at you, Girl.
All I know is I don't want this night to end.

No I don't want this night to end"
184,chris young,you,Country,"The bluest skies don't seem so blue
And the stars seem to be alittle dimmer too
Now that your around you put them all to shame
Let me break it down because I'm trying to say is

[Chorus:]
No one gets me like you when you kiss me, girl
You rock me harder than some down town band
I thought I knew what love was but I didn't have a clue
I never found anything that makes me feel like I do about you

Got a whole new direction it seems these days
I used to rush off to work and get home late
But now I show up late and rush back home
My prioritys are different I can't leave you alone

[Chorus:]
No one gets me like you when you kiss me, girl
You rock me harder than some down town band
I thought I knew what love was but I didn't have a clue
I never found anything that makes me feel like I do about you

Girl if you ever get to guessin if I'm thinkin bout you, just remember

[Chorus:]
No one gets me like you when you kiss me, girl
You rock me harder than some down town band
I thought I knew what love was but I didn't have a clue
I never found anything that makes me feel like I do about you

Youuu, ohh youuu"
185,the band perry,all your life,Country,"Would you walk to the edge of the ocean?
Just to fill my jar with sand?
Just In case I get the notion;
To let it run through my hands.
Run through my hands.

Well, I don't want the whole world,
The sun, the moon and all their light.
I just wanna be the only girl,
You love all your life
You love all your life

Would you catch a couple thousand fireflies?
Put them in a lamp to light my world.
All dressed up in a tux and bowtie.
Hand delivered to a lonely girl.

Well, I don't want the whole world
The sun, the moon, and all their light
I just wanna be the only girl
You love all your life
You love all your life

Lately I've been writing desperate love songs.
Mostly sing them to the wall.
You could be the center piece of my obsession
If you would notice me...
Yeah, yeah.

Well, I don't want the whole world, no
The sun, the moon, and all their light
I just wanna be the only girl
You love all your life
You love all your life

You love all your life, life, yeah."
186,keith urban,you gonna fly,Country,"One, two, three baby don't think twice
Just like that you gotta brand new life
Hop in this truck and run through the red lights
Yeah where you wanna go baby, name the town
We could go up north we could head down south
Roll down the windows with the radio loud
Come on turn it up yeah
Start living your life
On the double leave your troubles behind
You and me we gonna be alright
[Chorus:]
You could be a black bird on a country street
Hiding from the world with a broken wing
But you better believe you gonna fly with me
And you could be a songbird from New Orleans
Scared of the rain just a scared to sing
But you better believe you gonna fly with me
Well here we are baby in the back of my bed
Sun's going down sky's turning red
Stars coming out baby look at you now
God knows how long but it's been awhile
Since I heard you laugh and I seen that smile
Felt that kiss and I could get used to this
Baby I could get used to this
[Chorus:]
You gonna fly
But you gonna fly
[Chorus:]
You could be a black bird on a country street
Hiding from the world with a broken wing
But you better believe you gonna fly with me
And you could be a songbird from New Orleans
Scared of the rain just a scared to sing
But you better believe yeah you better believe baby oh
[Chorus:]
You gonna fly
You gonna fly with me baby
You better believe it now honey girl
Oh yeah
You gonna fly"
187,kenny chesney,reality,Country,"For me, it's a beach bar
Or on a boat underneath the stars
Or with my band up on a stage
For awhile, everything's okay

For some, it's a fast car
Moonshine in a mason jar
But everybody has their way
Somehow to escape

Reality
Yeah, sometimes, life ain't all it is cracked up to be
So, let's take a chance, and live this fantasy
'Cause everbody needs to break free
From reality

Oh, yeah

Guess somedays, it's a bitch; it's a bummer
We need a rock 'n' roll show in the summer
We'll let the music take us away
Take our minds to a better place

Where we feel that sense of freedom
Leave our worries behind us; we don't need 'em
All we need is a sunny day, and an ol' tailgate
And we'll escape

Reality
Yeah, sometimes, life ain't all it is cracked up to be
So, let's take a chance, and live this fantasy
'Cause everbody needs to break free
From reality

Everybody, raise your hands and voice tonight
Set your soul free; let's take a carpet ride
We'll leave it all behind

Oh, yeah

Reality
Yeah, sometimes, life ain't all it is cracked up to be
So, let's take a chance, and live this fantasy
'Cause everbody needs to break free
From reality
Yeah, oh, yeah

C'mon, everybody, break free
C'mon everybody, break free"
